date;zender;kdh;madl;abs
02/22/2015;Totaal zenders;14,3;100,0;2.219.000
02/22/2015;NPO1;2,4;16,7;371.000
02/22/2015;NPO2;0,8;5,3;118.000
02/22/2015;NPO3;0,8;5,8;130.000
02/22/2015;RTL4;2,2;15,1;336.000
02/22/2015;RTL5;0,3;2,1;48.000
02/22/2015;RTL7;0,4;3,1;69.000
02/22/2015;RTL8;0,3;2,0;43.000
02/22/2015;RTL Crime;0,0;0,1;3.000
02/22/2015;RTL Lounge;0,0;0,0;0
02/22/2015;SBS 6;1,0;6,9;154.000
02/22/2015;Net5;0,5;3,3;73.000
02/22/2015;Veronica;0,3;1,8;40.000
02/22/2015;SBS9;0,1;0,7;15.000
02/22/2015;MTV;0,1;0,6;13.000
02/22/2015;Comedy Central;0,3;2,0;45.000
02/22/2015;Comedy Central Family;0,0;0,1;3.000
02/22/2015;Nickelodeon;0,1;1,0;22.000
02/22/2015;TeenNick;0,0;0,2;3.000
02/22/2015;Disney Channel;0,1;0,5;11.000
02/22/2015;Disney XD;0,1;0,5;12.000
02/22/2015;Discovery Channel;0,3;1,9;41.000
02/22/2015;TLC;0,3;1,9;41.000
02/22/2015;ID;0,1;0,5;10.000
02/22/2015;National Geographic Channel;0,3;1,9;41.000
02/22/2015;24Kitchen;0,1;0,7;15.000
02/22/2015;FOX;0,2;1,2;26.000
02/22/2015;FOX Sports 1 Eredivisie;0,2;1,3;28.000
02/22/2015;FOX Sports 2;0,0;0,3;8.000
02/22/2015;FOX Sports 3 Eredivisie;0,1;0,4;10.000
02/22/2015;Eurosport;0,1;1,0;22.000
02/22/2015;AT5;0,0;0,1;2.000
02/22/2015;ORN TV;0,2;1,4;30.000
02/22/2015;VID+DVD+HDR;1,0;6,9;154.000
02/22/2015;SKO Light;0,9;6,2;138.000
02/22/2015;Overige zenders;0,9;6,5;144.000
02/21/2015;Totaal zenders;14,4;100,0;2.229.000
02/21/2015;NPO1;2,4;16,8;375.000
02/21/2015;NPO2;1,1;7,5;168.000
02/21/2015;NPO3;0,6;4,0;89.000
02/21/2015;RTL4;2,6;18,2;405.000
02/21/2015;RTL5;0,4;2,7;61.000
02/21/2015;RTL7;0,6;4,2;94.000
02/21/2015;RTL8;0,3;1,8;40.000
02/21/2015;RTL Crime;0,0;0,2;4.000
02/21/2015;RTL Lounge;0,0;0,1;2.000
02/21/2015;SBS 6;0,9;6,6;147.000
02/21/2015;Net5;0,6;4,4;98.000
02/21/2015;Veronica;0,4;3,0;67.000
02/21/2015;SBS9;0,1;0,5;12.000
02/21/2015;MTV;0,0;0,3;8.000
02/21/2015;Comedy Central;0,2;1,2;27.000
02/21/2015;Comedy Central Family;0,0;0,1;3.000
02/21/2015;Nickelodeon;0,2;1,1;25.000
02/21/2015;TeenNick;0,0;0,1;2.000
